id;sid;name;type;owner;parent;tm
1340001;;;1;984513;0;1587016054
1340003;0;Документы на контроле;2;984513;1340001;1567428364
1369284;09CB8A70B8CD464536266728C4CEDDF0;СП по аттестации;32;984513;1340002;1565255998
1406465;2BCEDEBD2CC00976499C19F835F0E1D0;Мои папки;1;996005;1406464;1591797711
1435656;CD9160E6BDE539B40227547653A77E05;проверка_потребы Роспотребнадзор;32;965405;1243370;1575965803
1419561;CE37BD257BDCF7FB68E9C7B2834D0BB9;УК_мошенничество;32;965405;1243370;1574849585
1392256;29445DC1DD4B2327441B60CD78E3F243;судебное разбирательство;32;984513;1340002;1580908192
1380110;4746C2364D0630CBA0331479C7721EB1;трудовые;32;984513;1340002;1580115559
1573813;62423F2E5394955A7BC9625F1381A79E;учебники;32;984513;1340002;1587016054
1376812;64A289C5E393A92318C21DD17C7FD0F6;прогул - не прогул;32;984513;1340002;1567509162
1539544;7069D79AEC5AB04E48C9C495EAE5806F;ФСС суд;32;984513;1340002;1586429680
1405304;7D60E44B86D7D9EF11F4A01B73308479;управляющий вместо директора;32;984513;1340002;1572434873
1360751;8ADF36307CCBD623E5974D57B01DD7CF;KPI;32;984513;1340002;1563525513
1396382;90EBBE37A2BAE781736D8CE9AF2E99F1;служебные произведения;32;984513;1340002;1570536235
1378283;951A61ED6E82468F75AAACB02BB8A92C;корпоративное право;32;984513;1340002;1580116389
1375214;9CB200EC3B9F75824364D7A43CE6DE33;НДС на SaaB;32;984513;1340002;1566823687
1413833;A1810FCEA06C1324388CBA70FD21FD04;налоговая отсрочка;32;984513;1340002;1574167922
1503401;B4D559F83F9EE52E023608365822EF8E;НДС на ПО;32;984513;1340002;1580807820
1359406;E112B18E39BCFEFCD632323C423B2520;судебный приказ;32;984513;1340002;1563279383
1384536;E8B979095999E60E30D12CC302845C20;увольнение;32;984513;1340002;1572264533
1376693;EE70593F34C2667275CC1CC0184CED58;Интел. собственность;32;984513;1340002;1582641422
1360643;FBF537CECB99B15603512EE590923E5B;регистрация;32;984513;1340002;1563462693
1416156;F1B662AF1053DFB1C41381221FC01B9D;процесс_цель обращения с иском;32;965405;1243370;1574341140
1406466;0;Документы на контроле;2;996005;1406464;1572596154
1529526;00E12D799F6ACA082C033B56681DCAB6;;32;996005;1406465;1584460925
1459657;17C86843317018BE32C1BB582665EC85;ИС-Причитать;32;996005;1406465;1577358371
1459454;29EA0020B27D5809186B5E7982DDA2EE;Легран;32;996005;1406465;1577360193
1584568;2F177D3C28D0C88BA968B85D617C3230;Контрактное;32;996005;1406465;1589290864
1408802;55A325F01A4F6B31BA3B26812A90F71D;ЧЗБХ;32;996005;1406465;1573111401
1537427;D5D84DCCB24E87EEF30733D1046F3B53;Коронавирус-Кризис;32;996005;1406465;1591797711
1525829;DB0DAD86B40278F14FA50DD2ED2AFB76;КЖ ФТС-Сип;32;996005;1406465;1583834895
1408732;F21C81D73F293CF74758334647F70DF8;ДДУ;32;996005;1406465;1582538124
1521463;FD1F96EDBD3AFC4AA5487166F30FB2B5;Адрес ответчика неизвестен;32;996005;1406465;1583140509
1406464;;;1;996005;0;1591797711
1468481;319CF4A5C0B694F84BA2E066D2F79C21;УФАС;32;996005;1406465;1579085543
